"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"11/16/2021","NY","Riverhead (Suffolk County)","Under investigation","A 42-year-old woman, 16-year-old girl, 24-year-old man, 27-year-old man, and another 24-year-old man died in a house fire.","Female","16","Unknown","3 of 5","N","1 & 2 family
","Not reported","https://bronx.news12.com/neighbors-mourn-5-victims-of-riverhead-house-fire"
"11/16/2021","NY","Riverhead (Suffolk County)","Under investigation","A 42-year-old woman, 16-year-old girl, 24-year-old man, 27-year-old man, and another 24-year-old man died in a house fire.","Male","24","Unknown","4 of 5","N","1 & 2 family
","Not reported","https://bronx.news12.com/neighbors-mourn-5-victims-of-riverhead-house-fire"
"11/16/2021","NY","Riverhead (Suffolk County)","Under investigation","A 42-year-old woman, 16-year-old girl, 24-year-old man, 27-year-old man, and another 24-year-old man died in a house fire.","Male","27","Unknown","5 of 5","N","1 & 2 family
","Not reported","https://bronx.news12.com/neighbors-mourn-5-victims-of-riverhead-house-fire"
"11/16/2021","NY","Morristown (St. Lawrence County)","Under investigation","A 90-year-old man died in a house fire.","Male","90","Older adults (65 and older)","","Y","1 & 2 family
","Not reported","https://www.wwnytv.com/2021/11/17/authorities-identify-fatal-fire-victim/"
"11/16/2021","NY","Cherry Valley","Under investigation","A 58-year-old woman died in a travel trailer fire.","Female","58","Unknown","","N","Camper/RV/travel trailer","Not reported","https://www.nyspnews.com/fatal-fire-in-otsego-county.htm"
"11/12/2021","NY","Bronx","Under investigation","A 6-year-old boy died in an apartment fire.","Male","6","Children (14 and under)","","N","Multifamily","Not reported","https://www.nydailynews.com/new-york/ny-trash-compactor-fire-20211110-dzkenugggbcsda6mvbti2gndpy-story.html"
"11/10/2021","NY","New York City","Under investigation","A 70-year-old woman and a 44-year-old man died in a house fire.","Male","44","Unknown","1 of 2","N","Multifamily","Not reported","https://www.ny1.com/nyc/manhattan/news/2021/11/11/fdny-investigates-deadly-apartment-fire-on-upper-west-side"
"11/10/2021","NY","New York City","Under investigation","A 70-year-old woman and a 44-year-old man died in a house fire.","Female","70","Older adults (65 and older)","2 of 2","N","Multifamily","Not reported","https://www.ny1.com/nyc/manhattan/news/2021/11/11/fdny-investigates-deadly-apartment-fire-on-upper-west-side"
"11/10/2021","NY","Glen Falls","Under investigation","An 86-year-old woman died in a house fire.","Female","86","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://poststar.com/news/local/glens-falls-fire-leaves-one-dead-one-injured/article_087cab95-1ff8-574f-a200-903a152f9a5c.html"
"11/09/2021","NY","Lima (Livingston County)","Under investigation","A 67-year-old woman died in a house fire.","Female","67","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://news.yahoo.com/woman-rescued-house-fire-dies-104948934.html"
